t(s),T(Â°C) | Real
0,"12,71"
1,"13,2"
2,"22,48"
3,"7,82"
4,0
5,"1,96"
6,"27,86"
7,"21,51"
8,"9,78"
9,"22,48"
10,0
11,"17,6"
12,"19,06"
13,"24,93"
14,"21,02"
15,"19,06"
16,"21,51"
17,"22,48"
18,"24,44"
19,"12,71"
20,"29,33"
21,"16,62"
22,"24,44"
23,"25,42"
24,"28,84"
25,"23,46"
26,"26,39"
27,"15,15"
28,"20,53"
29,"21,99"
30,"22,48"
31,"24,93"
32,"24,44"
33,"14,66"
34,"24,44"
35,"26,88"
36,"30,79"
37,"27,86"
38,"29,81"
39,"27,37"
40,"25,9"
41,"28,84"
42,"30,79"
43,"29,81"
44,"30,3"
45,"30,3"
46,"26,88"
47,"27,37"
48,"27,86"
49,"25,42"
50,"25,9"
51,"26,88"
52,"22,97"
53,"30,79"
54,"29,81"
55,"28,35"
56,"28,84"
57,"30,3"
58,"22,97"
59,"31,77"
60,"25,42"
61,"33,72"
62,"33,24"
63,"30,3"
64,"31,77"
65,"32,75"
66,"33,24"
67,"33,24"
68,"32,75"
69,"34,21"
70,"33,72"
71,"33,24"
72,"32,26"
73,"34,7"
74,"34,21"
75,"33,24"
76,"30,79"
77,"34,21"
78,"34,21"
79,"32,75"
80,"34,21"
81,"33,24"
82,"35,68"
83,"32,26"
84,"35,68"
85,"36,17"
86,"36,17"
87,"35,68"
88,"33,24"
89,"35,68"
90,"35,68"
91,"33,24"
92,"36,17"
93,"36,66"
94,"33,24"
95,"32,75"
96,"33,24"
97,"34,7"
98,"37,63"
99,"36,17"
100,"38,12"
101,"37,15"
102,"38,61"
103,"36,66"
104,"37,15"
105,"39,59"
106,"39,1"
107,"39,1"
108,"36,66"
109,"40,57"
110,"40,57"
111,"37,15"
112,"39,1"
113,"40,57"
114,"39,1"
115,"41,54"
116,"40,08"
117,"37,63"
118,"40,57"
119,"39,1"
120,"42,03"
121,"42,03"
122,"40,08"
123,"40,57"
124,"42,03"
125,"41,06"
126,"43,01"
127,"43,01"
128,"39,59"
129,"42,52"
130,"43,99"
131,"43,01"
132,"43,5"
133,"42,52"
134,"44,48"
135,"42,03"
136,"44,48"
137,"43,99"
138,"44,97"
139,"42,03"
140,"44,97"
141,"40,57"
142,"45,94"
143,"44,97"
144,"45,45"
145,"45,45"
146,"46,92"
147,"43,01"
148,"43,5"
149,"43,99"
150,"46,43"
151,"45,94"
152,"47,41"
153,"47,41"
154,"44,97"
155,"46,92"
156,"45,45"
157,"45,94"
158,"46,43"
159,"45,94"
160,"46,92"
161,"47,9"
162,"46,92"
163,"49,36"
164,"46,92"
165,"49,36"
166,"48,88"
167,"50,83"
168,"49,36"
169,"49,36"
170,"48,39"
171,"51,32"
172,"49,85"
173,"52,3"
174,"51,81"
175,"50,83"
176,"53,27"
177,"52,3"
178,"52,79"
179,"52,3"
180,"52,79"
181,"54,25"
182,"54,74"
183,"52,79"
184,"53,76"
185,"54,74"
186,"55,72"
187,"54,25"
188,"53,76"
189,"55,72"
190,"54,74"
191,"56,21"
192,"55,23"
193,"58,65"
194,"57,18"
195,"57,18"
196,"58,16"
197,"57,18"
198,"56,7"
199,"57,18"
200,"58,65"
201,"57,67"
202,"59,14"
203,"58,65"
204,"60,12"
205,"58,65"
206,"59,63"
207,"60,12"
208,"60,12"
209,"60,61"
210,"60,61"
211,"63,05"
212,"61,58"
213,"62,56"
214,"61,58"
215,"61,09"
216,"62,56"
217,"62,07"
218,"61,58"
219,"64,03"
220,65
221,"63,54"
222,"64,52"
223,"64,03"
224,"65,49"
225,65
226,"65,49"
227,"66,47"
228,"66,47"
229,"67,45"
230,"65,49"
231,"65,98"
232,"66,96"
233,"67,94"
234,"67,45"
235,"68,91"
236,"69,4"
237,"69,4"
238,"69,89"
239,"68,43"
240,"69,89"
241,"68,91"
242,"71,36"
243,"68,91"
244,"69,4"
245,"69,89"
246,"67,45"
247,"67,94"
248,"67,94"
249,"68,91"
250,"67,94"
251,"67,94"
252,"66,47"
253,"65,49"
254,"76,25"
255,"67,45"
256,"78,69"
257,"71,85"
258,"66,96"
259,"77,22"
260,"75,76"
261,"75,27"
262,"72,34"
263,"75,76"
264,"73,8"
265,"75,27"
266,"77,71"
267,"76,74"
268,"75,76"
269,"75,76"
270,"75,27"
271,"73,8"
272,"71,85"
273,"70,38"
274,"69,4"
275,65
276,"64,52"
277,"71,36"
278,"67,94"
279,"68,91"
280,"67,45"
281,"72,83"
282,"75,76"
283,"94,82"
284,"96,77"
285,"73,8"
286,"53,76"
287,"50,83"
288,"63,05"
289,"89,93"
290,"81,13"
291,"74,29"
292,"86,02"
293,"112,9"
294,"87,49"
295,"66,47"
296,"96,77"
297,"96,29"
298,"83,58"
299,"82,6"
300,"74,29"
301,"99,71"
302,"103,62"